epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.109,1.03448,2.87999,0.01006,0.36036,0.33826,0.2249,0.17203,0.73369,1.83309,0.01772,0.000237642,0.000237642,0.000237642
2,744.33,1.03982,1.48861,0.01005,0.39524,0.39791,0.34041,0.27184,0.69287,1.66391,0.01478,0.000444249,0.000444249,0.000444249
3,1087.83,1.04183,1.01757,0.01001,0.46777,0.53527,0.49816,0.40428,0.67178,1.29651,0.01492,0.000619441,0.000619441,0.000619441
4,1438.96,1.00802,0.81154,0.00966,0.50289,0.57172,0.55365,0.44276,0.76527,1.18545,0.0161,0.000572628,0.000572628,0.000572628
5,1797.11,0.9503,0.68112,0.00908,0.5045,0.54867,0.54397,0.43419,0.74127,1.27796,0.01515,0.000525504,0.000525504,0.000525504
6,2107.57,0.93112,0.49727,0.01086,0.55061,0.57094,0.58916,0.48415,0.6884,1.20884,0.01368,0.00047838,0.00047838,0.00047838
7,2402.23,0.88912,0.43135,0.01014,0.53991,0.57252,0.56443,0.47092,0.70407,1.57379,0.01364,0.000431256,0.000431256,0.000431256
8,2693.32,0.85498,0.39894,0.00964,0.55581,0.57212,0.59882,0.50322,0.65832,1.35788,0.01192,0.000384132,0.000384132,0.000384132
9,2986.72,0.81871,0.3631,0.00904,0.55325,0.64106,0.61553,0.5164,0.65726,1.35203,0.01164,0.000337008,0.000337008,0.000337008
10,3704.81,0.78925,0.33319,0.00874,0.64854,0.65249,0.68622,0.58726,0.64648,1.18948,0.01112,0.000289884,0.000289884,0.000289884
